text,label,io_confidence,org_confidence,nci_score,top_indicators,platform,timestamp
Democrats Jun 12 The same man who cut children’s cancer research is now a trillionaire. DiscussingFilm Jun 12 Elon Musk has become the first trillionaire in history.,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:57:17.943909
"Gavin Newsom Jun 9 Trump says voter fraud should land people in prison. Agreed. And let's start with the politicians spreading election lies with the goal of illegally interfering with counting ballots. In California, I just signed a law making that punishable with up to 3 years behind bars. More to come. FAFO, Donald.",IO,0.997,0.003,0,,X / Twitter,2026-06-15T09:57:18.144554
"Gavin Newsom Jun 9 Trump says voter fraud should land people in prison. Agreed. And let's start with the politicians spreading election lies with the goal of illegally interfering with counting ballots. In California, I just signed a law making that punishable with up to 3 years behind bars. More to come. FAFO, Donald.",IO,0.997,0.003,0,,X / Twitter,2026-06-15T09:57:18.550110
Democrats Jun 12 The same man who cut children’s cancer research is now a trillionaire. DiscussingFilm Jun 12 Elon Musk has become the first trillionaire in history.,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:57:18.682533
Acyn Hegseth: Nobody makes better or more munitions than the US. Brennan: But there is a crisis with those stockpiles right now. Hegseth: That is a manufactured story that the media wants to peddle. Brennan: You testified under oath that it would take years to rebuild those stockpiles.,IO,0.999,0.001,1,2,X / Twitter,2026-06-15T09:57:23.843200
Congress Jun 14 Translated from Hindi Show original Narendra Modi is compromised For which the country is paying the price,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:57:24.777104
BrooklynDad_Defiant!,Organic,0.001,0.999,0,,X / Twitter,2026-06-15T09:57:35.558810
Open Source Intel,Organic,0.113,0.887,0,,X / Twitter,2026-06-15T09:57:35.648192
Seyed Abbas Araghchi,Organic,0.011,0.989,0,,X / Twitter,2026-06-15T09:57:36.691932
"Politics UK Jun 10 NEW: The family of the Belfast attempted beheading victim has called for calm ""We have many migrants who make a deeply valuable contribution to our country. We depend on them to make our country work. We do not want this terrible tragedy to be used to divide people""",Organic,0.0,1.0,1,6,X / Twitter,2026-06-15T09:57:38.835351
The Tennessee Holler,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:57:39.106159
Sky News BREAKING: Prime Minister Sir Keir Starmer has announced a social media ban for under-16s. Live updates: trib.al/AaXv2Tr,Organic,0.0,1.0,1,1,X / Twitter,2026-06-15T09:57:45.594125
Democrats Jun 8 Happy National Best Friends Day Pop Base Jun 8 Today is National Best Friends Day.,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:57:45.914420
The Hormuz Letter,IO,1.0,0.0,0,,X / Twitter,2026-06-15T09:57:46.024590
Ursula von der Leyen,IO,0.994,0.006,0,,X / Twitter,2026-06-15T09:57:48.893283
Democrats Trump turns 80 today.,IO,0.99,0.01,0,,X / Twitter,2026-06-15T09:57:51.842152
"Politics UK Jun 12 BREAKING: Another Makerfield by-election poll has been released Via More in Common, 515 sample, 28 May - 12 June",Organic,0.0,1.0,1,1,X / Twitter,2026-06-15T09:57:52.196893
Elizabeth Warren,IO,1.0,0.0,0,,X / Twitter,2026-06-15T09:57:52.292058
Sen. Bernie Sanders,IO,1.0,0.0,0,,X / Twitter,2026-06-15T09:58:29.282680
The White House,IO,0.99,0.01,0,,X / Twitter,2026-06-15T09:58:29.363300
"Politics UK Jun 12 BREAKING: Another Makerfield by-election poll has been released Via More in Common, 515 sample, 28 May - 12 June",Organic,0.0,1.0,1,1,X / Twitter,2026-06-15T09:58:29.494945
The New York Times,IO,0.994,0.006,0,,X / Twitter,2026-06-15T09:58:29.576882
The Hormuz Letter,IO,1.0,0.0,0,,X / Twitter,2026-06-15T09:58:29.649532
The Hormuz Letter,IO,1.0,0.0,0,,X / Twitter,2026-06-15T09:58:29.759997
Open Source Intel,Organic,0.113,0.887,0,,X / Twitter,2026-06-15T09:58:29.845898
Secretary Marco Rubio,IO,0.98,0.02,0,,X / Twitter,2026-06-15T09:58:29.929966
"Keir Starmer Jun 14 In the early hours of this morning, I directed our Armed Forces to intercept a shadow fleet oil tanker attempting to pass through the English Channel. This successful operation delivers yet another blow to Russia and reminds those fueling Putin's war in Ukraine that we will not let them hide. I want to thank those involved, including our Armed Forces and law enforcement officers who keep this country safe 24 hours a day, 365 days a year.",Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:58:30.167484
Sen. Bernie Sanders,IO,1.0,0.0,0,,X / Twitter,2026-06-15T09:58:30.445480
The Hormuz Letter,IO,1.0,0.0,0,,X / Twitter,2026-06-15T09:58:30.542043
The White House,IO,0.99,0.01,0,,X / Twitter,2026-06-15T09:58:30.619625
The Hormuz Letter,IO,1.0,0.0,0,,X / Twitter,2026-06-15T09:58:30.701255
"Politics UK Jun 12 BREAKING: Another Makerfield by-election poll has been released Via More in Common, 515 sample, 28 May - 12 June",Organic,0.0,1.0,1,1,X / Twitter,2026-06-15T09:58:30.817738
Open Source Intel,Organic,0.113,0.887,0,,X / Twitter,2026-06-15T09:58:30.892939
Secretary Marco Rubio,IO,0.98,0.02,0,,X / Twitter,2026-06-15T09:58:30.968251
"Keir Starmer Jun 14 In the early hours of this morning, I directed our Armed Forces to intercept a shadow fleet oil tanker attempting to pass through the English Channel. This successful operation delivers yet another blow to Russia and reminds those fueling Putin's war in Ukraine that we will not let them hide. I want to thank those involved, including our Armed Forces and law enforcement officers who keep this country safe 24 hours a day, 365 days a year.",Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:58:31.210241
Democrats Jun 8 Happy National Best Friends Day Pop Base Jun 8 Today is National Best Friends Day.,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:58:35.473173
"Fox News BREAKING: ""The Deal with the Islamic Republic of Iran is now complete."" President Trump says he has authorized the opening of the Strait of Hormuz and the immediate removal of the U.S. naval blockade following what he says is a completed agreement with Iran. ""Ships of the World, start your engines. Let the oil flow!""",IO,1.0,0.0,1,1,X / Twitter,2026-06-15T09:58:38.393566
"Jun 13 Trump says agreement with Iran is scheduled to be signed Sunday. Iran hasn't confirmed timing but said an ""understanding"" was reached on most issues. Follow live updates. cnn.it/3Qin5Bi",IO,0.985,0.015,0,,X / Twitter,2026-06-15T09:58:41.040092
Gabriel Boric Font,IO,0.994,0.006,0,,X / Twitter,2026-06-15T09:58:41.317926
The Kobeissi Letter,IO,0.977,0.023,0,,X / Twitter,2026-06-15T09:58:41.397229
"Mark R. Levin In a period of two-months, Israel has gone from a great ally and partner in war, fighting by our side against a horrible enemy that has killed thousands of our people, killed tens of thousands of their own people, and was a dire nuclear threat intent on attacking us, to Israeli PM Netanyahu being a difficult person who should be thanking us for saving his country from Iran and should get our permission if he wants to defend his people from Hezbollah and Iran, and stand down when his country is",IO,1.0,0.0,3,"2,6",X / Twitter,2026-06-15T09:58:41.686911
"Lindsey Graham I am pleased to hear the memorandum of understanding with Iran to allow the Strait of Hormuz to open has been agreed to. I will be watching closely the ensuing negotiations regarding Iran’s nuclear program and other matters. I am somewhat concerned that Iran’s view of the agreement seems different than what the American negotiating team is claiming. Under our law, any nuclear deal with Iran will be sent to Congress for review and a vote. I look forward to reviewing the final product and I bel",IO,1.0,0.0,0,,X / Twitter,2026-06-15T09:58:41.971643
A franchise-record-setting win for the Colorado Rockies,Organic,0.029,0.971,0,,X / Twitter,2026-06-15T09:58:50.857895
Baseball Performances,IO,0.99,0.01,0,,X / Twitter,2026-06-15T09:58:50.959855
you seem pretty sad for a baseball fan so in love let the Sunday slate fix that,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:58:51.082722
Jomboy Media I've seen enough get Scotland in the World Baseball Classic just so their fans keep showing up at ballparks,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:58:51.198828
Football Away Days,IO,0.996,0.004,0,,X / Twitter,2026-06-15T09:58:53.560207
Baseball Central™,Organic,0.052,0.948,0,,X / Twitter,2026-06-15T09:58:59.505183
BBC Sport Scotland,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:58:59.578682
Alistair Bell - World News,Organic,0.001,0.999,0,,X / Twitter,2026-06-15T09:59:04.563492
Best fans in the world only the Irish can compete with them.,IO,0.999,0.001,0,,X / Twitter,2026-06-15T09:59:04.659023
Jason Martin This must have been some experience for American sports fans...,IO,0.995,0.005,0,,X / Twitter,2026-06-15T09:59:04.757115
"Hopefully the Fenway PA replaced ""Sweet Caroline"" with ""I Would Walk 500 Miles"" for the 7th Inning Sing-a-Long.",Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:59:04.890967
Arne Pengels We just do it better than others,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:59:04.978810
Oliver Cromwell ( Not ),Organic,0.065,0.935,0,,X / Twitter,2026-06-15T09:59:05.068741
Scott Fella in the white shirt at the end is just a baseball fan.,IO,0.966,0.034,0,,X / Twitter,2026-06-15T09:59:05.163469
Scotty Football,IO,0.807,0.193,0,,X / Twitter,2026-06-15T09:59:05.249062
The Beast from the east,IO,0.949,0.051,0,,X / Twitter,2026-06-15T09:59:05.528963
Steven Duff Love seeing Carlo Ancelotti at the end getting on it too,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:59:05.676586
BEN RICE GO-AHEAD HOMER IN THE 9TH!,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:59:06.148833
Jun 13 -Tarik Skubal returns to the mound against the Guardians -Cam Schlittler and Kevin Gausman square off in an AL East matchup -Yoshinobu Yamamoto and Jacob deGrom are also on the bump Great pitching all around on a full Saturday of baseball!,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:59:09.688859
Logan Webb spins a gem for the SFGiants,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:59:12.700550
Jun 14 Go home runs Go home runs Go!,Organic,0.142,0.858,0,,X / Twitter,2026-06-15T09:59:12.790908
MLS Moves Jun 13 Soccer>Baseball. If MLS had it together it would be easily be the 3rd best league in United States. We can easily get NHL and MLB out of the way,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:59:12.939113
Jun 13 An incredible outing from Yoshi! Yoshinobu Yamamoto took a no-hitter into the 9th inning in Chicago Los Angeles Dodgers,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:59:15.113298
Apr 3 This angle of Cody Bellinger's catch is wild Still trying to figure out how he caught this baseball Apr 3 HOW DID CODY BELLINGER CATCH THIS BALL?!,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T09:59:16.060134
Jun 13 The homer four times to secure the win in Minnesota! St. Louis Cardinals,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T10:00:00.545693
"As a long-time lover and watcher of baseball, seeing Scotland fans take over Fenway Park belting that out is surreal. This World Cup has already had so many great little moments like this. Love it. BBC Sport Scotland 'Yes Sir, I Can Boogie!' Scotland fans party at Fenway Park! #BBCFootball #FifaWorldCup",IO,0.996,0.004,0,,X / Twitter,2026-06-15T10:00:00.768449
KutterIsKing Poor bastards didn’t know the absolute shit product they were about to witness on that baseball field,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T10:00:02.383050
george The sheer amount of Scottish fans that stopped by to watch a Red Sox game tonight after their game against Haiti in Boston yesterday is superb…,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T10:00:41.702181
This is what it sounds like ̶𝖶̶𝗁̶𝖾̶𝗇̶ 𝖽̶𝗈̶𝗏̶𝖾̶𝗌̶ 𝖼̶𝗋̶𝗒̶ When balls fly,IO,0.952,0.048,0,,X / Twitter,2026-06-15T10:01:39.519744
A franchise-record-setting win for the Colorado Rockies,Organic,0.029,0.971,0,,X / Twitter,2026-06-15T10:02:05.774053
Baseball Central™,Organic,0.052,0.948,0,,X / Twitter,2026-06-15T10:02:05.890078
Football Away Days,IO,0.996,0.004,0,,X / Twitter,2026-06-15T10:02:06.006155
BBC Sport Scotland,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T10:02:06.102168
BEN RICE GO-AHEAD HOMER IN THE 9TH!,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T10:02:12.508285
Baseball Performances,IO,0.99,0.01,0,,X / Twitter,2026-06-15T10:02:12.592219
Baseball Performances,IO,0.99,0.01,0,,X / Twitter,2026-06-15T10:02:12.686401
This is what it sounds like ̶𝖶̶𝗁̶𝖾̶𝗇̶ 𝖽̶𝗈̶𝗏̶𝖾̶𝗌̶ 𝖼̶𝗋̶𝗒̶ When balls fly,IO,0.952,0.048,0,,X / Twitter,2026-06-15T10:02:12.906279
claybraham lincoln,IO,0.985,0.015,0,,X / Twitter,2026-06-15T10:02:13.006425
Morgan Spence The Red Sox game might be over but the party continues at Fenway Park,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T10:02:13.114942
Baseball Performances,IO,0.99,0.01,0,,X / Twitter,2026-06-15T10:02:13.188281
Baseball Performances,IO,0.99,0.01,0,,X / Twitter,2026-06-15T10:02:13.476182
This is what it sounds like ̶𝖶̶𝗁̶𝖾̶𝗇̶ 𝖽̶𝗈̶𝗏̶𝖾̶𝗌̶ 𝖼̶𝗋̶𝗒̶ When balls fly,IO,0.952,0.048,0,,X / Twitter,2026-06-15T10:02:13.690010
claybraham lincoln,IO,0.985,0.015,0,,X / Twitter,2026-06-15T10:02:13.781975
Morgan Spence The Red Sox game might be over but the party continues at Fenway Park,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T10:02:13.901976
Baseball Performances,IO,0.99,0.01,0,,X / Twitter,2026-06-15T10:02:13.972623
"As a long-time lover and watcher of baseball, seeing Scotland fans take over Fenway Park belting that out is surreal. This World Cup has already had so many great little moments like this. Love it. BBC Sport Scotland 'Yes Sir, I Can Boogie!' Scotland fans party at Fenway Park! #BBCFootball #FifaWorldCup",IO,0.996,0.004,0,,X / Twitter,2026-06-15T10:02:14.208943
Jun 13 -Tarik Skubal returns to the mound against the Guardians -Cam Schlittler and Kevin Gausman square off in an AL East matchup -Yoshinobu Yamamoto and Jacob deGrom are also on the bump Great pitching all around on a full Saturday of baseball!,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T10:02:14.428861
"As a long-time lover and watcher of baseball, seeing Scotland fans take over Fenway Park belting that out is surreal. This World Cup has already had so many great little moments like this. Love it. BBC Sport Scotland 'Yes Sir, I Can Boogie!' Scotland fans party at Fenway Park! #BBCFootball #FifaWorldCup",IO,0.996,0.004,0,,X / Twitter,2026-06-15T10:02:14.863253
Jun 13 -Tarik Skubal returns to the mound against the Guardians -Cam Schlittler and Kevin Gausman square off in an AL East matchup -Yoshinobu Yamamoto and Jacob deGrom are also on the bump Great pitching all around on a full Saturday of baseball!,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T10:02:15.048893
New York Yankees,IO,0.986,0.014,0,,X / Twitter,2026-06-15T10:02:15.854328
KutterIsKing Poor bastards didn’t know the absolute shit product they were about to witness on that baseball field,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T10:02:15.977216
Apr 3 This angle of Cody Bellinger's catch is wild Still trying to figure out how he caught this baseball Apr 3 HOW DID CODY BELLINGER CATCH THIS BALL?!,Organic,0.0,1.0,0,,X / Twitter,2026-06-15T10:02:19.435034
Jun 14 Go home runs Go home runs Go!,Organic,0.142,0.858,0,,X / Twitter,2026-06-15T10:02:19.493633
"Steve Dennis Seeing 5,000 Scottish fans bring a footie atmosphere to a baseball game is a sight to behold Doubt Fenway Park has ever heard anything like it",Organic,0.003,0.997,0,,X / Twitter,2026-06-15T10:02:19.591574
